date,region,product,sales_rep,units_sold,unit_price,revenue,profit_margin,customer_satisfaction
2023-01-31,Latin America,Smart Watches,Grace Lee,23,215.6,4958.84,0.181,3.6
2020-03-28,Middle East & Africa,Headphones,Henry Taylor,23,178.19,4098.48,0.316,3.8
2023-04-30,Latin America,Smart Watches,Alice Johnson,17,243.19,4134.31,0.208,4.4
2024-09-01,Latin America,Headphones,Henry Taylor,16,157.1,2513.65,0.226,5.0
2024-03-08,Asia Pacific,Smart Watches,Carol Davis,22,201.33,4429.18,0.338,4.3
2022-02-15,Europe,Smart Watches,Bob Smith,22,212.2,4668.48,0.249,3.6
2020-07-24,North America,Headphones,Bob Smith,26,151.2,3931.31,0.259,3.8
2021-12-03,Europe,Smartphones,David Wilson,31,501.24,15538.38,0.189,3.6
2020-10-22,Middle East & Africa,Smart TVs,Eva Brown,17,659.89,11218.15,0.206,4.3
2022-11-30,Middle East & Africa,Gaming Consoles,Eva Brown,36,320.88,11551.81,0.313,4.6
2024-08-25,Asia Pacific,Laptops,Carol Davis,12,677.08,8124.94,0.323,4.4
2022-07-18,North America,Smart TVs,Grace Lee,20,764.29,15285.79,0.278,4.8
2022-08-18,Asia Pacific,Smart Watches,Grace Lee,23,256.13,5890.94,0.304,4.2
2021-01-27,Europe,Smartphones,David Wilson,13,632.74,8225.6,0.213,4.3
2024-10-23,Middle East & Africa,Gaming Consoles,Grace Lee,19,356.61,6775.55,0.165,3.9
2023-01-14,Latin America,Smartphones,Bob Smith,24,689.15,16539.61,0.311,3.8
2024-12-26,Asia Pacific,Smart TVs,Bob Smith,21,813.91,17092.15,0.204,4.5
2021-09-24,Latin America,Smart Watches,Alice Johnson,17,253.41,4307.95,0.247,4.5
2023-06-11,Latin America,Smart TVs,Grace Lee,18,716.27,12892.83,0.231,3.6
2021-03-17,Latin America,Headphones,Frank Miller,23,128.89,2964.36,0.35,3.9
2020-01-02,Europe,Headphones,Frank Miller,22,151.86,3340.83,0.24,4.3
2020-09-03,Latin America,Gaming Consoles,Carol Davis,18,448.5,8073.04,0.244,5.0
2022-09-08,Asia Pacific,Gaming Consoles,Henry Taylor,24,401.31,9631.48,0.289,4.8
